sectperf,prof_pos,sex,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
GOV,TOTAL,T,HC,EL	: 	: 	16863 	: 	13260 b	: 	: 	: 	: 	: 	7861 	: 	9148 	: 	8819 	: 	7911 	: 	9773 	: 	10259 	: 	7145 	: 	5656 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,ES	: 	53615 	53671 	56338 	58172 	58815 	60709 	55422 	50695 	46725 	43946 	39499 	35306 	31536 	31645 	29683 	28851 	: 	25620 	: 	22562 	23497 	24428 	24453 	24746 	23883 	21769 	21078 	18550 	14126 	11266 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,EU28	: 	467080 e	461354 	455397 e	446209 	437553 e	432440 e	425626 e	414989 e	414740 e	404412 e	395817 e	390305 e	384243 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,FI	: 	7377 	8103 	8250 	8695 	8815 	8547 	8710 	9222 	9581 	9926 	9943 	9903 	10064 	9640 	9462 	9786 	9754 	9224 	: 	8521 	: 	9077 	: 	8601 	: 	8234 	: 	7790 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,FR	: 	: 	51764 	51716 	52141 	52081 b	56152 d	55109 d	54117 d	53505 d	56347 d	51284 	50690 	50587 bd	48887 e	50808 e	: 	50364 	51594 	65683 	64574 	64358 	64173 	63847 	68916 	68589 	69401 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,HR	: 	4472 d	4666 d	4785 d	4835 	5009 	5127 	4635 	4696 	4816 	4616 	6398 	5487 	4858 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,HU	: 	9379 	9309 	9541 	10156 	10293 	10100 	9996 	10429 	11498 	11627 	11483 b	11474 d	11767 d	10461 d	11255 	9995 d	8871 d	8133 d	8126 d	7589 d	8013 d	8501 d	9329 d	11058 d	12469 d	: 	13575 d	13967 d	14123 d	14099 d	: 	14525 d	14548 d	14928 d	13162 
GOV,TOTAL,T,HC,IE	: 	1014 	1022 	1103 	1196 	1133 	1203 	1251 	1306 	1297 	1249 	1609 	1657 	1609 	2027 b	1768 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,IS	329 	: 	293 b	: 	743 b	: 	1774 	1668 	1596 	1822 	1716 	: 	1740 	1299 	1347 	1296 e	1245 	1088 	1036 	: 	800 	: 	780 	: 	623 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,IT	50667 p	51330 	51274 	49093 	46587 	45333 	45776 	48356 	48878 	50520 	45552 	44061 	42610 	39343 	38873 	41471 	41107 	43128 	40435 	41878 	40985 	40713 	39550 	39308 	39193 	39650 	37385 	36675 	33108 	30888 	29333 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,JP	: 	70454 	69925 	70643 	70682 	70941 	71945 	70653 	71672 	72329 	72499 	72388 	72367 	70342 	68887 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,KR	: 	42582 	41428 	39408 	35646 	33360 	31136 	25031 	24819 b	20816 d	19271 d	19431 d	18937 d	18620 d	19014 d	19151 d	18638 d	17739 d	20775 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,LT	: 	2853 	2769 	2656 	2720 	2760 	3026 	3023 	3072 	3066 	3259 	3330 	3301 	3504 	4820 	5077 	5572 	5819 	6024 	6233 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,LU	: 	: 	1311 	1285 	1291 	1148 	1001 	: 	799 	712 	641 	: 	548 	478 	420 	355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,LV	: 	1589 	1595 	1589 	1593 	1314 	1485 	1797 	2152 	2142 	1959 	1443 	1472 	1580 	1557 	1406 	1588 	1720 	1994 	2377 	2644 	2723 	3320 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,ME	: 	659 	684 	: 	661 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,MK	: 	: 	: 	745 	452 	1043 	889 	1076 	1071 	1090 	1118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,MT	76 p	52 	48 	55 	57 	78 	91 	69 	48 	73 	64 	52 	37 	251 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,NL	: 	17952 d	17513 d	17780 bd	13447 d	13383 d	13116 d	13848 d	14126 d	14627 d	14133 d	15137 d	15957 bd	13924 	13893 	13820 b	15601 	18512 	18069 	17910 	17705 	18909 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,NO	: 	9274 	9302 	9137 	9086 	8815 	8717 	8080 	8000 	: 	6826 	: 	6642 	6650 	6450 	: 	6384 	: 	6697 	: 	6692 	: 	6611 	: 	5997 	: 	5932 	: 	5155 	: 	4549 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,PL	: 	27581 	27176 	26861 	26953 	26027 	23115 	22509 	22840 	22744 	21966 	23578 	25390 	28543 	20209 	21892 	22230 	23238 	23414 	24260 	24519 	24567 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,PT	: 	5933 	5527 	5520 	7026 	6501 	5996 	6307 	6357 	6859 e	7360 	7317 e	7273 	7876 e	8478 	8849 e	9220 	8026 e	6831 	6521 e	6210 	5963 e	5726 e	5499 	5663 e	5827 	5697 e	5566 	5652 e	5738 	5914 e	6089 	5749 e	5408 	: 	: 
GOV,TOTAL,T,HC,RO	: 	12555 	12966 	11867 	11106 b	8987 	9018 	10795 	9185 	8706 	10258 	10162 	9641 	9111 	8595 	7727 	8931 	10646 	10701 	13894 	14294 	14827 	16737 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,RS	: 	4767 	5602 	5700 	5490 	5334 	5815 	5767 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,RU	: 	263841 e	262000 e	271579 e	254896 e	259007 e	260360 e	260854 e	272255 e	274802 e	272718 e	258078 e	256098 e	257462 e	256137 e	255850 	258639 	255147 	266970 	270696 	282166 	289424 	252000 	272100 	294500 	304100 	309000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,SE	: 	: 	12339 e	: 	9069 be	: 	4741 e	: 	5360 de	: 	5600 be	: 	5521 	: 	5239 	: 	5085 	: 	5192 	: 	5360 	: 	3723 b	: 	: 	: 	: 	: 	3623 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,SI	: 	2907 	3018 	2971 	3040 b	3642 	3640 	3640 	3378 	3088 	2841 	2022 	1926 	2826 	2959 	3132 	3230 	3318 	3400 	3182 	3046 	3203 	3067 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,SK	: 	5227 d	4398 d	5079 d	4942 d	5044 d	4645 d	4770 d	4761 d	4315 d	4252 d	4046 d	4458 d	4402 d	4509 d	4725 	4586 d	4725 d	4383 d	7849 d	7819 d	8402 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,TR	: 	13903 	13894 	14445 	14076 	13598 	13105 	11893 	11798 	11600 	11372 	8747 	8572 	8644 	8544 	6339 	6116 	6090 	7280 	7223 	6270 	6151 	5830 	5463 	5361 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,TOTAL,T,HC,UK	: 	17962 	18143 	18611 	18354 	20407 	20577 	20470 	20828 	22313 	22292 	22578 	22761 	23400 	23131 b	31182 	31602 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,AT	: 	: 	1062 	: 	1068 	: 	1074 	: 	1035 	1054 	: 	1129 	: 	939 	: 	: 	: 	964 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,BA	: 	166 	90 	71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,BE	: 	: 	: 	: 	1129 	1137 	1113 	1063 	1033 	1012 	874 	854 	965 	909 	922 	874 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,BG	: 	: 	: 	: 	: c	100 	165 	100 	97 	96 	89 	124 	146 	132 	116 	115 	75 	90 	126 	288 	580 	516 	1225 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,CY	: 	17 	19 	20 	19 	18 	18 	8 	10 	8 	8 	6 	7 	5 	4 	3 	3 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,CZ	: 	1041 	1039 	678 	640 	718 	545 	565 	580 	597 	475 b	218 	219 	213 	231 	329 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,DE	: 	16096 	15731 	15565 	14975 	14996 	15357 	14994 	14728 	14816 	14813 	: 	: 	: 	: 	15875 	16259 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,DK	: 	1868 	1797 	1642 	1425 	1617 	1461 	: 	1045 b	854 	799 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,EE	131 	276 	101 	136 	80 	61 	62 	38 	76 	48 	71 	259 	165 	179 	194 	134 	294 	382 	390 	296 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,EL	: 	: 	: 	: 	1307 b	: 	: 	: 	: 	: 	1588 	: 	1628 	: 	: 	: 	2076 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,ES	: 	4369 	4378 	4515 	4871 	4611 	4696 	4554 	4460 	4440 	3772 	3462 	3168 	2404 	2321 	2434 	1869 	: 	1815 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,HR	: 	224 	253 	242 	254 	254 	287 	295 	310 	221 	217 	414 	388 	1145 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,HU	: 	648 	708 	727 	794 	843 	742 	702 	668 	846 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,IE	: 	304 p	291 e	412 	367 e	421 	401 	418 	470 e	379 	320 	244 	120 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,IS	: 	: 	: 	: 	151 b	: 	22 	37 	36 	50 	: 	: 	: 	: 	: 	: 	82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2063 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,LT	: 	: 	: 	: 	435 	870 	951 	996 	902 	895 	760 	616 	525 	598 	654 	411 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,LU	: 	: 	14 	18 	16 	17 	23 	12 	: 	8 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,LV	: 	: 	: 	: 	209 	183 	159 	160 	208 	202 	146 	223 	176 	186 	195 	194 	190 	207 	156 	153 	119 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,ME	: 	15 	17 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,MK	: 	: 	: 	40 	10 	28 	21 	24 	25 	32 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,MT	76 p	62 	68 	62 	56 	51 	46 	45 	40 	36 	36 	40 	37 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,NL	: 	4936 	4856 	4726 	4792 	: 	: 	7198 	7022 	6850 	6859 	6826 	6713 	6670 	6702 	6564 	6463 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5064 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,PT	: 	262 	240 b	136 	146 	309 	453 	379 b	322 	278 e	234 	303 e	372 	299 e	227 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,RO	: 	877 	1009 	858 	956 b	255 	377 	530 	829 	477 	408 	391 	560 	466 	703 	471 	363 	974 	541 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,RS	: 	940 	929 	962 	920 	1008 	1282 	1404 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,SE	: 	: 	: 	: 	602 	: 	400 	: 	: 	: 	: 	: 	: 	: 	: 	: 	966 	: 	930 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,SI	: 	60 	70 	103 	106 b	106 	90 	77 	86 	96 	87 	57 	49 	45 	95 	198 	125 	113 	123 	194 	498 	477 	486 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,FTE,SK	: 	78 	81 	49 	67 	62 	83 	91 	84 	108 	82 	103 	77 	76 	71 	67 	38 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,AT	: 	: 	3006 	: 	2894 	: 	2964 	: 	2890 	2935 	: 	3053 	: 	2618 	: 	: 	: 	2589 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,BA	: 	376 	169 	110 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,BE	: 	: 	: 	: 	2882 	2864 	2843 	2761 	2707 	2667 	2351 	2278 	2279 	2230 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,BG	: 	: 	: 	: 	206 	193 	243 	137 	139 	139 	129 	160 	177 	179 	141 	135 	75 	90 	126 	288 	580 	516 	1225 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,CH	: 	: 	: 	12295 	: 	11636 	: 	10129 	: 	8885 	: 	8525 	: 	8265 	: 	8795 	: 	: 	: 	7620 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,CY	: 	52 	53 	56 	53 	46 	43 	22 	28 	28 	26 	20 	22 	23 	21 	21 	20 	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,CZ	: 	1797 	2028 	1428 	1241 	1348 	1080 	1180 	1229 	1111 	1291 	852 	940 	970 	865 	1146 	1109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,DE	: 	36542 	36126 	34770 	33880 	33934 	34414 	33165 	31992 	32008 	32323 	30671 	31859 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,DK	: 	3609 	3626 	3445 	2312 	3195 	3334 	: 	2266 b	1770 	1851 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,EE	461 	459 	382 	311 	256 	301 	308 	225 	253 	280 	313 	342 	405 	410 	480 	391 	361 	484 	478 	330 	315 	1371 	1309 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,EL	: 	: 	: 	: 	4702 b	: 	: 	: 	: 	: 	4012 	: 	3773 	: 	3709 	: 	5367 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,ES	: 	11032 	10813 	11344 	13376 	13198 	13173 	12214 	12644 	12907 	11181 	10515 	10508 	9440 	8723 	8271 	6793 	: 	6124 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,FR	: 	: 	6711 	6966 	7114 	7087 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,HR	: 	620 	669 	674 	766 	782 	755 	749 	728 	597 	637 	1379 	1305 	1396 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,HU	: 	2585 	2933 	2992 	3305 	3553 	3531 	3540 	3470 	3660 	4299 	4643 	3737 	3683 	3672 	3554 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,IE	: 	1744 p	2319 e	2361 	2660 e	2959 	3067 	2535 	2820 e	2706 	2200 	1636 	1393 	1150 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,IS	310 	: 	: 	: 	264 b	: 	40 	89 	85 	69 	40 	: 	61 	: 	182 	: 	69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,JP	: 	35332 	34835 	32949 	31728 	29954 	28428 	27235 	25652 	24889 	24151 	23453 	22418 	21540 	21128 	20855 	21134 	20635 	20225 	19993 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,KR	: 	12719 	11349 	12628 	12472 	12731 	13588 	12434 	9377 b	6042 d	5543 d	5262 d	5008 d	4141 d	3364 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,LT	: 	: 	: 	: 	1193 	1197 	1359 	1407 	1438 	1355 	1222 	1377 	1031 	1035 	995 	577 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,LU	: 	: 	18 	23 	20 	21 	28 	20 	9 e	9 	4 	: 	2 e	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,LV	: 	: 	: 	: 	370 	309 	293 	367 	350 	298 	218 	307 	253 	225 	257 	252 	257 	272 	207 	188 	168 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,ME	: 	169 	152 	: 	162 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,MK	: 	: 	: 	77 	42 	73 	119 	137 	156 	206 	106 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,MT	227 p	185 	194 	185 	167 	154 	138 	135 	119 	109 	108 	114 	111 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,NL	: 	6060 	5971 	5824 	5914 	: 	: 	9548 	9431 	9204 	9207 	9493 	9410 	9335 	9452 	9232 	9054 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,NO	: 	: 	: 	: 	: 	: 	: 	2875 	2760 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,PL	: 	3307 	3128 	3122 	2919 	3271 	3407 	3268 	3321 	3530 	4050 	5768 	5403 	: 	: 	5064 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,PT	: 	328 	315 b	162 	174 	369 	556 	489 b	401 	369 e	336 	433 e	529 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,RO	: 	1431 	1443 	1241 	1652 b	1068 	1381 	944 	1282 	974 	619 	852 	1217 	894 	1006 	523 	406 	992 	572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,RS	: 	999 	1031 	1065 	991 	1070 	1350 	1468 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,SE	: 	: 	: 	: 	6135 	: 	4670 	: 	5629 	: 	: 	: 	: 	: 	1484 	: 	7670 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,SI	: 	193 	189 	274 	277 b	278 	259 	250 	262 	275 	256 	184 	158 	212 	309 	311 	291 	414 	461 	959 	848 	764 	637 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,SK	: 	130 	138 	107 	143 	133 	121 	120 	129 	146 	123 	137 	132 	119 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,F,HC,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,T,FTE,AT	: 	: 	1533 	: 	1550 	: 	1592 	: 	1511 	1551 	: 	1652 	: 	1427 	: 	: 	: 	1473 	: 	: 	: 	: 	1181 	: 	: 	: 	1138 	: 	: 	: 	1034 	: 	: 	: 	914 	: 
HES,OTH,T,FTE,BA	: 	376 	171 	125 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,T,FTE,BE	: 	: 	: 	: 	1777 	1776 	1705 	1638 	1599 	1526 	1295 	1248 	1414 	1335 	1356 	1276 	2335 	2234 	2082 	2031 	2279 	2292 	2318 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,T,FTE,BG	: 	: 	: 	: 	: c	156 	282 	173 	173 	177 	165 	227 	250 	263 	217 	211 	89 	105 	159 	440 	715 	638 	1711 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,T,FTE,CH	: 	: 	: 	7144 	: 	7161 	: 	6039 	: 	5450 	: 	5265 	: 	4800 	: 	4920 	: 	4704 	: 	4420 	: 	690 	: 	1040 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,T,FTE,CY	: 	28 	31 	31 	28 	25 	24 	14 	15 	11 	10 	7 	8 	7 	5 	6 	5 	6 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HES,OTH,T,FTE,CZ	1815 p	1711 	1695 	1016 	1006 	994 	878 	818 	840 	888 	723 b	361 	368 	365 	402 	490 	347 	330 	361 	298 	339 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
