sex,prof_pos,sectperf,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 
F,RSE,BES,PC_ACT_HC,BE	: 	: 	0.3365 	: 	0.3368 	0.2946 	0.2436 	0.2439 	0.2093 	0.2047 	0.2008 	0.1956 	0.202 	0.2046 	0.2055 	0.1834 	0.1831 	0.1776 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,BG	: 	0.1016 	0.0877 	0.0661 	0.0509 	0.0464 	0.0544 	0.0439 	0.0376 	0.0345 	0.0399 	0.0425 	0.0432 	0.0351 	0.0361 	0.0388 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,CH	: 	: 	: 	0.2031 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,CY	: 	0.0454 	0.048 	0.0471 	0.047 	0.0505 	0.0584 	0.054 	0.0443 	0.0463 	0.0447 	0.0377 	0.038 	0.0486 	0.0468 	0.0412 	0.0317 	0.0215 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,CZ	: 	0.1452 	0.1328 	0.1218 	0.1133 	0.1024 	0.1045 	0.1065 	0.0942 	0.0857 	0.0921 	0.1005 	0.0901 	0.0856 	0.0771 	0.078 	0.0682 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,DE	: 	: 	0.164 	: 	0.1632 	: 	0.1428 	: 	0.1281 	: 	0.119 	: 	0.1179 	: 	0.1228 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,DK	: 	: 	0.5537 	0.6008 	0.5678 	0.5187 e	0.5022 	: 	0.4416 b	: 	0.451 	: 	0.3448 	0.3346 b	0.2091 	: 	0.1909 	0.1667 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,EA19	: 	: 	0.2073 	: 	0.1911 	: 	0.1632 e	: 	0.1518 	: 	0.1263 e	: 	0.1197 e	: 	0.1112 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,EE	: 	0.1968 	0.1759 	0.1919 	0.2138 	0.1791 	0.1773 	0.1518 	0.1642 	0.1091 	0.1053 	0.0828 	0.0711 	0.0543 	0.0596 	0.0509 	0.0734 	0.0457 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,EL	: 	: 	0.0761 	: 	0.0861 b	: 	: 	: 	0.0957 	: 	0.089 	: 	0.0829 	: 	0.0498 	: 	0.0526 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,ES	: 	0.1722 	0.1703 	0.1646 	0.166 	0.1683 	0.173 	0.1816 	0.1682 	0.1555 	0.1342 	0.1268 	0.1136 	0.0996 b	0.0568 	: 	0.0494 	: 	0.0368 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,EU28	: 	: 	0.1922 	0.1806 e	0.1716 	0.1591 e	0.148 e	: 	0.1407 	: 	0.1284 e	: 	0.1212 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,FI	: 	0.3564 	0.351 	0.3478 	0.3699 	0.3604 	0.3705 	0.3566 	0.3587 	0.3818 	0.3678 	0.3719 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,FR	: 	: 	0.3178 	0.3093 	0.2856 	0.2641 	0.2311 	0.222 	0.2169 	0.1942 b	0.1764 	0.1859 	0.1733 	0.1788 	0.1631 b	0.1541 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,HR	: 	0.0575 	0.0588 	0.0708 	0.0638 	0.068 	0.0714 	0.0661 	0.0455 	0.0393 	0.0421 	0.0601 	0.0473 	0.0522 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,HU	: 	0.1481 	0.1449 	0.1431 	0.1495 	0.1365 	0.1207 	0.1109 	0.1004 	0.0867 	0.0719 	0.0686 	0.0713 	0.0688 	0.0657 	0.0674 	0.0523 	0.0586 	0.0663 	0.0679 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,IE	: 	: 	0.326 	: 	0.2492 	0.2467 e	0.2389 	0.2132 	0.2027 	0.1952 	0.1823 	0.1815 	0.1704 	0.1727 	0.1904 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
