sex,prof_pos,sectperf,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 
T,RSE,GOV,PC_ACT_HC,LV	: 	0.0936 	0.0957 	0.0958 	0.0909 	0.0758 	0.0784 	0.093 	0.1272 	0.1181 	0.0737 	0.0585 	0.0621 	0.0699 	0.0724 	0.0745 	0.0821 	0.0869 	0.1083 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,MK	: 	: 	: 	0.0484 	0.0313 	0.0715 	0.0681 	0.0877 	0.0879 	0.0919 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,MT	0.0192 p	0.0132 	0.0141 	0.0207 	0.0216 	0.0244 	0.0294 	0.025 	0.0152 	0.0292 	0.0214 	0.0152 	0.0057 	0.021 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,NL	: 	0.1279 d	0.1294 d	0.1334 bd	0.0944 d	0.0917 d	0.0885 d	0.0896 d	0.0933 d	0.0953 d	0.0927 d	0.1016 d	0.1033 bd	0.0872 	0.0887 	0.0806 b	0.0956 	0.1134 	0.1127 	0.1159 	0.1166 	0.1235 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,NO	: 	0.2369 	0.2432 	0.2402 	0.2439 	0.2399 	0.2377 d	0.2188 d	0.2235 d	: 	0.1935 d	: 	0.1872 d	: 	0.1764 d	: 	0.1738 d	: 	0.181 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,PL	: 	0.0936 	0.0914 	0.0915 	0.0949 	0.0962 	0.0907 	0.0891 	0.09 	0.087 	0.0835 	0.086 	0.0899 	0.0964 	0.0691 	0.073 	0.0727 	0.0773 	0.0796 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,PT	: 	0.0906 	0.0819 b	0.094 	0.1179 	0.0987 	0.0857 	0.085 	0.0887 	0.0987 e	0.1091 	0.1042 e	0.0985 	0.1007 e	0.1041 	0.1072 e	0.1103 	0.0901 	0.0729 	0.0713 e	0.069 	0.066 e	0.0636 e	0.0565 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,RO	: 	0.0765 	0.0777 	0.0753 	0.0695 b	0.0651 	0.0634 	0.0692 	0.0643 	0.0613 	0.0777 	0.0698 	0.0675 	0.0626 	0.0561 	0.0518 	0.0564 	0.0644 	0.0559 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,RU	: 	: 	: 	0.1804 e	0.1699 e	0.1745 e	0.1756 e	0.1747 e	0.1835 e	0.1864 e	0.1894 e	0.1813 e	0.1825 e	0.1819 e	0.1834 e	0.1783 	0.1814 	0.1943 	0.2016 	0.2023 	0.2069 	0.2035 	0.1993 	0.2144 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,SE	: 	: 	0.192 be	: 	0.1308 be	: 	0.0462 e	: 	0.0599 be	: 	0.1026 bde	: 	0.0755 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,SI	: 	0.2096 	0.2187 	0.2178 	0.2157 b	0.2416 	0.2433 	0.2411 	0.2179 	0.1979 	0.1863 	0.1338 	0.1295 	0.2041 	0.1936 	0.2037 	0.2108 	0.2053 	0.1994 	0.1788 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,SK	: 	0.1468 d	0.123 d	0.1367 d	0.1319 d	0.1292 d	0.1222 d	0.1222 d	0.1247 d	0.1109 d	0.1079 d	0.1024 d	0.1088 d	0.1045 d	0.1053 d	0.1107 	0.107 d	0.1122 d	0.1091 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,TR	: 	0.0258 	0.026 	0.0279 	0.0274 	0.0288 	0.0279 	0.0248 	0.026 	0.025 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_ACT_HC,UK	: 	0.0281 	0.0278 	0.0281 	0.0278 	0.0316 	0.032 	0.0322 	0.033 	0.0324 	0.0344 	0.0342 	0.0345 	0.0341 	0.0345 b	: 	0.0539 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,AT	0.0403 ep	0.04 e	0.0389 	0.0387 e	0.0379 	0.0398 e	0.0399 	0.0385 e	0.0359 	0.0356 	0.0332 e	0.0282 	: 	0.0271 	: 	: 	: 	0.0261 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,BE	0.1025 p	0.0828 e	0.0815 	0.0802 b	0.0622 	0.0595 	0.0642 	0.0603 	0.0581 	0.0573 	0.0541 	0.0538 	0.0501 	0.0489 	0.0481 	0.0445 	0.0437 	0.0412 de	0.0405 d	0.038 d	0.0321 d	0.0322 d	0.0318 bd	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,BG	0.1597 p	0.1721 	0.1836 	0.1844 	0.1973 	0.1896 	0.1811 	0.1826 	0.1925 	0.2001 	0.2062 	0.2144 	0.2195 	0.224 	0.2276 	0.2318 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,CH	0.0107 d	0.0107 d	: 	0.0101 d	: 	0.0098 d	: 	0.0115 d	: 	0.0107 d	: 	0.0107 d	: 	0.0116 d	: 	0.0104 bd	: 	0.0115 	: 	0.0147 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,CN_X_HK	: 	: 	: 	: 	: 	: 	: 	: 	0.03 d	0.0275 d	0.0264 d	0.0253 d	0.0258 d	0.0257 d	0.0256 d	0.0268 d	0.0234 d	0.023 d	0.0277 d	0.0261 d	0.0272 d	0.0289 d	0.029 d	0.0314 d	0.0306 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,CY	0.0243 p	0.0235 	0.0242 	0.0246 	0.0251 	0.0266 	0.0269 	0.0288 	0.0285 	0.0319 	0.0317 	0.0317 	0.0341 	0.0337 	0.0317 	0.0274 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,CZ	0.1498 p	0.135 	0.1305 	0.1261 	0.13 	0.1298 	0.1291 	0.1436 	0.1424 	0.1426 	0.1343 b	0.1041 	0.104 	0.0947 	0.1044 	0.0957 	0.092 	0.0966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,DE	0.1361 ep	0.1358 b	0.1469 	0.1451 	0.1424 	0.1387 	0.1302 	0.1196 	0.1165 	0.1132 	0.1113 	0.1195 	0.1092 	0.1093 	0.1072 	0.1047 	0.1058 	0.1081 	0.1067 	0.107 	0.1053 	0.0994 	0.0949 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,DK	0.0516 e	0.0524 	0.0478 	0.0461 	0.0447 	0.0458 	0.0409 	0.0413 	0.0436 b	0.0787 	0.0778 	0.0849 	0.0877 	0.0845 b	0.13 d	0.1344 	0.1462 d	: 	0.1388 d	0.1374 de	0.1382 d	: 	0.1191 d	0.1068 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,EA19	0.1141 p	0.1135 	0.1165 	0.114 	0.11 	0.1082 e	0.1059 e	0.0982 e	0.0967 	0.0944 	0.0935 	0.093 e	0.0893 e	0.0874 e	0.0876 e	0.0907 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,EE	0.0838 p	0.0889 	0.0926 	0.0924 	0.0921 	0.1 	0.0895 	0.084 	0.0862 	0.0819 	0.0798 	0.0838 	0.0821 	0.0812 	0.0827 	0.0988 	0.1095 	0.1075 	0.1183 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,EL	0.1957 p	0.1679 	0.167 	0.124 	0.1098 b	: 	: 	: 	0.0492 e	0.0509 e	0.0476 	: 	0.0502 	: 	0.0481 	: 	0.0508 	: 	0.053 	: 	0.0545 	: 	0.0529 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,ES	0.1127 	0.1173 	0.1216 	0.125 	0.1253 	0.1312 	0.1275 	0.1111 	0.1048 	0.1014 	0.1072 	0.0951 	0.0892 	0.0757 	0.0832 	0.0825 	0.0818 	0.0798 	0.0792 	0.0715 	0.0674 	0.0645 e	0.0635 	0.0597 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,EU28	0.0981 p	0.0975 	0.0999 	0.0981 	0.0961 	0.095 e	0.0927 e	0.0879 e	0.087 	0.087 	0.0871 	0.0862 e	0.0841 e	0.0831 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,FI	0.1499 	0.1714 	0.1865 	0.1823 	0.1907 	0.1888 	0.1859 	0.1818 	0.1823 	0.185 	0.1839 	0.1791 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,FR	: 	0.1125 	0.1096 	0.1063 	0.1041 	0.1034 b	0.1118 d	0.1056 d	0.1037 d	0.102 d	0.1036 d	0.0999 d	0.0993 d	0.1008 d	0.0966 d	0.112 bd	0.1108 d	0.1084 d	0.1097 bd	0.126 	0.1235 	0.1212 	0.118 	0.1161 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,HR	0.1123 d	0.1205 d	0.1302 d	0.1286 d	0.1293 	0.1271 	0.1188 	0.1095 	0.11 	0.1251 	0.1256 	0.1607 	0.1451 	0.1324 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,HU	0.1121 	0.1173 	0.1239 	0.1232 	0.1415 	0.1358 	0.1326 	0.1236 	0.1181 	0.1339 	0.1278 	0.1211 b	0.1217 d	0.1201 d	0.121 d	0.1223 	0.1207 d	0.1173 d	0.1094 d	0.1093 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,IE	0.026 	0.0248 	0.0239 	0.0277 	0.0303 	0.0306 	0.0271 	0.0258 	0.0249 	0.0242 	0.0219 	0.0305 	0.0311 	0.0337 	0.0295 b	0.0444 	0.019 	0.0209 	0.022 	0.0242 	0.0227 	0.0244 	0.0229 	0.0217 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,IS	0.1374 	: 	0.1096 b	: 	0.2585 b	: 	0.3417 	0.2806 	0.2701 	0.3261 	0.3255 	: 	0.3134 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,IT	0.0966 p	0.0965 	0.098 	0.0926 	0.0845 	0.079 	0.0747 	0.0685 	0.0768 	0.0741 	0.0655 	0.0647 	0.0644 	0.0632 	0.0614 	0.069 	0.0673 	0.0678 	0.0689 	0.0689 	0.0706 	0.0684 	0.066 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,JP	: 	: 	0.049 	0.0503 	0.0511 	0.0515 	0.0518 	0.05 	0.0509 	0.0526 	0.0535 	0.0536 	0.0534 	0.0535 	0.0526 	0.0484 	0.048 	0.0475 	0.0461 	0.0466 	0.047 	0.0469 	0.0464 	0.0464 	0.0465 	0.0472 	0.0478 	0.0487 	0.0489 	0.0494 	0.0498 	0.05 	0.0502 	0.0511 	0.052 
T,RSE,GOV,PC_EMP_FTE,KR	: 	: 	0.0929 	0.09 	0.0875 	0.0829 	0.0775 	0.066 	0.0677 b	0.0607 d	0.056 d	0.0539 d	0.0541 d	0.0512 d	0.0558 d	0.0547 d	0.0579 d	0.0506 d	0.0581 d	0.0591 d	0.0623 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,LT	0.1114 	0.1087 	0.1104 	0.1103 	0.1122 	0.1199 	0.1343 	0.1176 	0.1162 	0.1175 	0.1277 	0.1196 	0.1197 	0.1357 	0.1829 	0.1866 	0.1974 	0.2017 	0.2056 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,LU	0.3084 p	0.2912 	0.3107 	0.313 	0.3363 	0.3024 	0.2777 	0.2736 	0.2476 	0.2232 	0.1938 	0.1819 	0.1747 	0.1532 	0.1529 	0.1262 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,LV	0.0796 p	0.0793 	0.0815 	0.0825 	0.0816 	0.0766 	0.0807 	0.0843 	0.0732 	0.0603 	0.0625 	0.0524 	0.0551 	0.059 	0.0625 	0.072 	0.0801 	0.0857 	0.1068 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,MK	: 	0.0516 	0.0511 	0.0605 	0.036 	0.0664 	0.0616 	0.0731 	0.0765 	0.0821 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,MT	0.0104 p	0.0088 	0.01 	0.0169 	0.015 	0.0188 	0.0198 	0.019 	0.0097 	0.018 	0.0122 	0.0132 	0.0061 	0.015 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,NL	0.1133 dp	0.1074 d	0.1063 d	0.105 bd	0.0829 d	0.0846 d	0.0808 d	0.0827 d	0.0836 d	0.0875 d	0.0877 d	0.0967 d	0.0954 bd	0.0839 	0.0849 	0.0761 b	0.0902 	0.1085 	0.1093 	0.1133 	0.1161 	0.1149 b	0.1102 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,NO	0.1878 p	0.1824 	0.1867 	0.1857 	0.187 	0.1842 	0.1826 d	0.16 d	0.1627 bd	0.1529 d	0.1538 d	0.1482 d	0.1469 d	: 	0.1382 d	: 	0.1374 d	: 	0.143 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,PL	0.0861 	0.0888 	0.0886 	0.0885 	0.0903 	0.089 	0.0844 	0.083 	0.0854 	0.0867 	0.088 	0.0948 	0.0993 	0.109 	0.0767 	0.0784 	0.0746 	0.078 	0.0769 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,PT	0.031 p	0.034 	0.0333 b	0.0395 	0.0568 	0.0533 	0.0595 	0.0669 	0.0664 	0.0684 e	0.0707 	0.0714 e	0.0722 	0.0736 e	0.076 	0.0751 e	0.0744 	0.0697 de	0.069 d	0.0677 de	0.0652 d	0.0529 de	0.0494 de	0.0426 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,RO	0.0809 	0.0776 	0.0805 	0.0775 	0.0718 b	0.0673 	0.0652 	0.0695 	0.0658 	0.0632 	0.0819 	0.0733 	0.0703 	0.0672 	0.0588 	0.0547 	0.0594 	0.0676 	0.0585 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,RU	: 	: 	: 	0.2091 	0.1998 	0.2074 	0.2106 	0.2056 	0.2163 	0.2221 	0.2266 	0.2197 	0.2206 	0.2185 	0.2222 	0.2185 	0.228 	0.252 	0.2527 	0.2409 	0.2463 	0.242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,SE	0.0713 	0.0501 e	0.0524 be	0.0444 e	0.0466 be	0.043 e	0.0338 e	0.0394 e	0.0436 bde	0.0699 de	0.0687 bde	0.0556 d	0.0539 d	: 	0.0532 d	: 	0.0608 d	: 	0.0633 d	: 	0.0674 d	: 	0.0571 bde	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,SI	0.1806 p	0.1955 	0.2055 	0.2042 	0.1986 b	0.2161 	0.2273 	0.2211 	0.2088 	0.1925 	0.172 	0.1226 	0.1188 	0.1679 	0.1626 	0.1705 	0.1754 	0.1722 	0.1611 	0.182 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,SK	0.1282 d	0.1329 d	0.1137 d	0.128 d	0.1256 d	0.13 d	0.1172 d	0.1177 d	0.123 d	0.1086 d	0.1134 d	0.1086 d	0.1131 d	0.1124 d	0.1153 d	0.1205 	0.1143 d	0.1167 d	0.1122 bd	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,TR	: 	0.0259 	0.0253 	0.026 	0.0258 	0.0277 	0.0276 	0.0236 	0.0239 	0.0237 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,UK	0.0253 ep	0.0263 	0.0264 	0.027 	0.0267 	0.0305 	0.0307 	0.0302 	0.0297 	0.0314 	0.0331 	0.033 	0.0342 	0.0338 	0.0368 b	0.0558 	0.0563 	0.0539 	0.0473 	0.0501 	0.0533 	0.0553 	0.0558 b	0.0585 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_FTE,US	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.035 d	0.0352 d	0.0347 d	0.0355 d	0.0367 d	0.0384 d	0.0411 d	0.0432 d	: 	0.0499 d	0.0522 d	0.0495 d	0.05 d	0.0501 d	0.0471 d	0.0483 d	: 	0.0486 bd	0.0591 d	0.0608 d	0.0603 d	0.059 d
T,RSE,GOV,PC_EMP_HC,AT	: 	: 	0.0862 	: 	0.0838 	: 	0.0805 	: 	0.072 	0.0737 	: 	0.0634 	: 	0.0643 	: 	: 	: 	0.0627 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,BE	: 	: 	0.0905 	0.0885 b	0.0719 	0.069 	0.0741 	0.07 	0.061 	0.0606 	0.0598 	0.0591 	0.0539 	0.0524 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,BG	: 	0.1768 	0.1874 	0.1895 	0.201 	0.1935 	0.1877 	0.1892 	0.2007 	0.2114 	0.2196 	0.225 	0.229 	0.2336 	0.239 	0.2443 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,CH	0.0247 d	0.0249 d	: 	0.023 d	: 	0.023 d	: 	0.0245 d	: 	0.0242 d	: 	0.0242 d	: 	0.0248 d	: 	0.0199 bd	: 	0.0252 	: 	0.0357 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,CY	: 	0.049 	0.0527 	0.0539 	0.0557 	0.0539 	0.0542 	0.0604 	0.0611 	0.0672 	0.0657 	0.0648 	0.0682 	0.0711 	0.0668 	0.0599 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,CZ	: 	0.1784 	0.1736 	0.166 	0.1714 	0.1667 	0.1732 	0.1948 	0.1912 	0.1949 	0.1834 	0.1771 	0.1721 	0.1678 	0.1708 	0.1699 	0.1597 	0.1782 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,DE	: 	0.1574 b	0.1715 	0.171 	0.169 	0.1643 	0.1537 	0.1411 	0.1324 e	0.1304 	0.1253 	0.134 	0.1239 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,DK	: 	0.0907 	0.0873 	0.0798 	0.0771 	0.0765 	0.0724 	0.0628 	0.0714 b	0.1188 	0.1147 	0.1245 	0.1226 	0.1162 bd	0.2266 	0.2271 	0.2525 	: 	0.2496 	: 	0.2853 	: 	0.2453 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,EA19	: 	0.143 e	0.1456 	0.1428 e	0.1374 	0.1333 e	0.1295 e	0.1207 e	0.117 e	0.1165 e	0.113 e	0.1114 e	0.1069 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,EE	0.109 	0.123 	0.1255 	0.1228 	0.1259 	0.1359 	0.1262 	0.1193 	0.1171 	0.1176 	0.1047 	0.1097 	0.1095 	0.1061 	0.1066 	0.1193 	0.1339 	0.1301 	0.1511 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,EL	: 	: 	0.2477 	: 	0.1532 b	: 	: 	: 	: 	: 	0.0669 	: 	0.0711 	: 	0.0697 	: 	0.0697 	: 	0.0825 	: 	0.0826 	: 	0.0719 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,ES	: 	0.1807 	0.1824 	0.1842 	0.1821 	0.1824 	0.1808 	0.1607 	0.1481 	0.1413 	0.148 	0.1345 	0.1236 	0.1087 	0.1165 	0.1109 	0.1088 	: 	0.11 	: 	0.0918 	0.0855 	0.0973 	0.0914 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,EU28	: 	0.1243 e	0.1264 	0.1233 e	0.1202 	0.1167 e	0.1128 e	0.1072 e	0.1052 e	0.1067 e	0.1052 e	0.1043 e	0.101 e	0.0992 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,FI	: 	0.2171 	0.2385 	0.2335 	0.2445 	0.2477 	0.2378 	0.2278 	0.2324 	0.2361 	0.2364 	0.2271 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,FR	: 	: 	0.1107 	0.1087 	0.1072 	0.1066 b	0.1187 d	0.1126 d	0.1122 d	0.1091 d	0.1108 d	0.1074 d	0.1068 d	0.1085 bd	0.0969 de	0.1182 e	: 	0.0971 	0.0999 	0.1088 	0.1049 	0.1045 	0.0991 	0.0977 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,HR	: 	0.1674 d	0.1861 d	0.1889 d	0.1831 	0.1894 	0.1819 	0.1653 	0.1614 	0.1914 	0.1879 	0.3135 	0.262 	0.2286 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,HU	: 	0.1537 	0.1495 	0.151 	0.1675 	0.1661 	0.1607 	0.1506 	0.1534 	0.1592 	0.1602 	0.1528 b	0.1494 d	0.149 d	0.1343 d	0.141 	0.135 d	0.1321 d	0.1229 d	0.1223 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,IE	: 	0.0293 	0.0282 	0.0312 	0.0332 	0.033 	0.0306 	0.0282 	0.0269 	0.0259 	0.0239 	0.0321 	0.0375 	0.0337 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,IS	0.1391 	: 	0.1018 b	: 	0.3182 b	: 	0.7688 	0.638 	0.6141 	0.7028 	0.6662 	: 	0.6859 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,IT	0.1292 p	0.1298 	0.127 	0.1171 	0.1068 	0.1008 	0.0929 	0.0898 	0.0958 	0.1035 	0.0853 	0.0809 	0.0801 	0.0749 	0.0766 	0.0892 	0.0893 	0.0929 	0.0955 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,JP	: 	: 	0.0543 	0.0555 	0.056 	0.0567 	0.057 	0.0547 	0.0554 	0.0568 	0.0577 	0.058 	0.0574 	0.057 	0.0561 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,RSE,GOV,PC_EMP_HC,KR	: 	: 	0.1043 	0.1006 	0.0978 	0.0924 	0.0877 	0.0733 	0.0745 b	0.063 d	0.0589 d	0.0558 d	0.0571 d	0.0562 d	0.059 d	0.059 d	0.0614 d	0.0576 d	0.0645 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
